text,emotion
I've been feeling down lately. Nothing seems to bring me joy anymore. 2.,sad
"The weather today is mild. Not too hot, not too cold. 5.",neutral
The way they behaved at the party was completely distasteful. I was repulsed. 4.,disgust
The plot twist in that movie caught me completely off guard. I was shocked! 3.,surprised
I couldn't believe my eyes when I saw what happened! It was completely unexpected. 1.,surprised
I found something moldy in the back of my fridge and it made me feel sick. 4.,disgust
"The weather today is mild. Not too hot, not too cold. 4.",neutral
I found something moldy in the back of my fridge and it made me feel sick. 2.,disgust
The strange noises outside my window are making me anxious. I can't sleep. 2.,fearful
The plot twist in that movie caught me completely off guard. I was shocked! 5.,surprised
I've been feeling down lately. Nothing seems to bring me joy anymore. 5.,sad
The smell in that room was absolutely revolting. I had to leave immediately. 4.,disgust
"The sun is shining, birds are singing, and I just feel so content with everything. 1.",happy
"The weather today is mild. Not too hot, not too cold. 3.",neutral
I'm feeling so joyful right now. Everything seems to be going right in my life. 3.,happy
I found something moldy in the back of my fridge and it made me feel sick. 5.,disgust
I miss how things used to be. Everything feels so different now. 4.,sad
This is absolutely infuriating. I've never been so mad in my life. 4.,angry
I'm really worried about the upcoming presentation. What if I mess up? 2.,fearful
I can't believe they would do this to me! After everything I've done for them! 5.,angry
The way they treated me was completely unacceptable. I'm still fuming about it. 2.,angry
"The weather today is mild. Not too hot, not too cold. 1.",neutral
The way they behaved at the party was completely distasteful. I was repulsed. 2.,disgust
It's been a tough week. I just can't seem to shake this feeling of emptiness. 2.,sad
I'm terrified of what might happen next. The uncertainty is overwhelming. 4.,fearful
It's been a tough week. I just can't seem to shake this feeling of emptiness. 1.,sad
"When they announced the winner, my jaw dropped. I never saw that coming. 2.",surprised
I'm feeling so joyful right now. Everything seems to be going right in my life. 1.,happy
I went to the store today and bought some groceries. Then I came home and cooked dinner. 5.,neutral
It's been a tough week. I just can't seem to shake this feeling of emptiness. 3.,sad
The plot twist in that movie caught me completely off guard. I was shocked! 2.,surprised
Today was an amazing day! I got a promotion at work and my friends threw me a surprise party. 4.,happy
The strange noises outside my window are making me anxious. I can't sleep. 3.,fearful
The way they treated me was completely unacceptable. I'm still fuming about it. 4.,angry
I'm terrified of what might happen next. The uncertainty is overwhelming. 5.,fearful
I'm really worried about the upcoming presentation. What if I mess up? 4.,fearful
The way they behaved at the party was completely distasteful. I was repulsed. 1.,disgust
"When they announced the winner, my jaw dropped. I never saw that coming. 5.",surprised
I went to the store today and bought some groceries. Then I came home and cooked dinner. 3.,neutral
The smell in that room was absolutely revolting. I had to leave immediately. 1.,disgust
The plot twist in that movie caught me completely off guard. I was shocked! 4.,surprised
I've been feeling down lately. Nothing seems to bring me joy anymore. 1.,sad
"The sun is shining, birds are singing, and I just feel so content with everything. 4.",happy
I read a book for about an hour. It was informative. 1.,neutral
I'm terrified of what might happen next. The uncertainty is overwhelming. 3.,fearful
I've been feeling down lately. Nothing seems to bring me joy anymore. 4.,sad
I read a book for about an hour. It was informative. 5.,neutral
I can't believe they would do this to me! After everything I've done for them! 1.,angry
The way they behaved at the party was completely distasteful. I was repulsed. 3.,disgust
Today was an amazing day! I got a promotion at work and my friends threw me a surprise party. 2.,happy
I read a book for about an hour. It was informative. 3.,neutral
I read a book for about an hour. It was informative. 4.,neutral
I couldn't believe my eyes when I saw what happened! It was completely unexpected. 4.,surprised
"The weather today is mild. Not too hot, not too cold. 2.",neutral
I'm really worried about the upcoming presentation. What if I mess up? 5.,fearful
The smell in that room was absolutely revolting. I had to leave immediately. 2.,disgust
Today was an amazing day! I got a promotion at work and my friends threw me a surprise party. 1.,happy
I'm feeling so joyful right now. Everything seems to be going right in my life. 5.,happy
I couldn't believe my eyes when I saw what happened! It was completely unexpected. 3.,surprised
Today was an amazing day! I got a promotion at work and my friends threw me a surprise party. 3.,happy
I found something moldy in the back of my fridge and it made me feel sick. 1.,disgust
I've been feeling down lately. Nothing seems to bring me joy anymore. 3.,sad
The smell in that room was absolutely revolting. I had to leave immediately. 5.,disgust
I went to the store today and bought some groceries. Then I came home and cooked dinner. 1.,neutral
"The sun is shining, birds are singing, and I just feel so content with everything. 5.",happy
"When they announced the winner, my jaw dropped. I never saw that coming. 4.",surprised
I'm really worried about the upcoming presentation. What if I mess up? 1.,fearful
The way they treated me was completely unacceptable. I'm still fuming about it. 1.,angry
I can't believe they would do this to me! After everything I've done for them! 3.,angry
I'm terrified of what might happen next. The uncertainty is overwhelming. 1.,fearful
"The sun is shining, birds are singing, and I just feel so content with everything. 2.",happy
This is absolutely infuriating. I've never been so mad in my life. 1.,angry
I'm really worried about the upcoming presentation. What if I mess up? 3.,fearful
The plot twist in that movie caught me completely off guard. I was shocked! 1.,surprised
The strange noises outside my window are making me anxious. I can't sleep. 4.,fearful
"When they announced the winner, my jaw dropped. I never saw that coming. 1.",surprised
This is absolutely infuriating. I've never been so mad in my life. 3.,angry
I miss how things used to be. Everything feels so different now. 3.,sad
I can't believe they would do this to me! After everything I've done for them! 2.,angry
This is absolutely infuriating. I've never been so mad in my life. 5.,angry
The way they treated me was completely unacceptable. I'm still fuming about it. 5.,angry
It's been a tough week. I just can't seem to shake this feeling of emptiness. 4.,sad
I miss how things used to be. Everything feels so different now. 2.,sad
"The sun is shining, birds are singing, and I just feel so content with everything. 3.",happy
